position,evaluation_seasons,player_seasons,model,mae_ppg,rmse_ppg,spearman,mae_improvement_vs_previous_ppg,mae_percent_improvement_vs_previous_ppg,v2_mae_improvement_vs_v1
QB,2012-2025,512,Previous-season PPG,3.70185021566082,4.855938497105832,0.6461557319606808,0.0,0.0,
QB,2012-2025,512,V1,3.5465713965132157,4.594557639726005,0.6325795752513163,0.15527881914760444,4.194627283694284,
QB,2012-2025,512,V2,3.245169065455097,4.216883507855241,0.6743520601357241,0.4566811502057231,12.33656478789217,0.30140233105811864
RB,2021-2025,410,Previous-season PPG,2.6334557365558084,3.542213341087688,0.7603787497584892,0.0,0.0,
RB,2021-2025,410,V1,2.408545605620994,3.123874603404576,0.788511807082745,0.2249101309348145,8.540494066893467,
RB,2021-2025,410,V2,2.3616679034165604,3.0435599078787012,0.8059552963203598,0.27178783313924804,10.320577231144522,0.04687770220443355
TE,2012-2025,968,Previous-season PPG,1.4968384402591683,1.9714641473175385,0.6777060690783793,0.0,0.0,
TE,2012-2025,968,V1,1.3171545514145482,1.7389444785607389,0.7128799895728385,0.17968388884462017,12.004227310831823,
TE,2012-2025,968,V2,1.319193802334364,1.7418500379443382,0.7131344332179338,0.17764463792480445,11.867990101459872,-0.002039250919815716
WR,2019-2025,929,Previous-season PPG,2.011096007199566,2.5886284170653417,0.7497890187025363,0.0,0.0,
WR,2019-2025,929,V1,1.8493941656625985,2.3544464331724964,0.7517397280184892,0.16170184153696754,8.040483445747373,
WR,2019-2025,929,V2,1.766939830912938,2.226111781737375,0.786701593455489,0.244156176286628,12.140453534419443,0.08245433474966046
