rank,player_id,player_name,position,target_team,projected_ppg
155,00-0040432,Beaux Collins,WR,NYG,1.3018315104463722
156,00-0038824,Ryan Miller,WR,NYG,1.2216383983408763
157,00-0040534,Ke'Shawn Williams,WR,CIN,1.2087738209415404
158,00-0038840,Brycen Tremayne,WR,CAR,1.2022252469296957
159,00-0038090,Skyy Moore,WR,GB,1.1603487265005983
160,00-0035140,Mecole Hardman,WR,BUF,1.1542843619435752
161,00-0035891,Cody White,WR,SEA,1.1306420345180532
162,00-0034386,Justin Watson,WR,HOU,1.0936164520799352
163,00-0035021,Ashton Dulin,WR,IND,1.08995352771547
164,00-0038573,Derius Davis,WR,LAC,1.046435698076424
165,00-0039379,Jamari Thrash,WR,CLE,1.0459262328229988
166,00-0038953,Dylan Drummond,WR,ATL,0.953170529182322
167,00-0040241,Dominic Lovett,WR,DET,0.946413518885258
168,00-0035298,Scott Miller,WR,CHI,0.9333825938575977
169,00-0039521,Xavier Weaver,WR,ARI,0.8965631676714754
170,00-0040646,Jalen Royals,WR,KC,0.8510752628997746
171,00-0040075,LaJohntay Wester,WR,BAL,0.8488566230834991
172,00-0034418,Cedrick Wilson Jr.,WR,DET,0.8179214679702911
173,00-0036841,Austin Trammell,WR,JAX,0.8118662451779004
174,00-0040154,Tai Felton,WR,MIN,0.8000027806770555
175,00-0035645,Gunner Olszewski,WR,NYG,0.7653777214175363
176,00-0037098,Samori Toure,WR,PHI,0.5888426349847817
177,00-0038519,Nikko Remigio,WR,KC,0.5848457391940771
178,00-0039816,Anthony Gould,WR,IND,0.5725517362435939
179,00-0038752,Jake Bobo,WR,SEA,0.5606031215510905
180,00-0036331,Devin Duvernay,WR,ARI,0.4882611654426112
181,00-0036630,Tylan Wallace,WR,CLE,0.42166178166692436
182,00-0036862,Ben Skowronek,WR,PIT,0.41669235237311053
183,00-0039650,Bryce Oliver,WR,TEN,0.39366569993143496
184,00-0040506,Myles Price,WR,MIN,0.3674896565206849
185,00-0036497,Tim Jones,WR,JAX,0.3491793803171577
186,00-0034419,Braxton Berrios,WR,NYG,0.3322668954961001
187,00-0036176,Mason Kinsey,WR,TEN,0.21278426575147869
188,00-0040406,Quentin Skinner,WR,NYJ,0.19800376121312002
189,00-0033589,David Moore,WR,CAR,0.13774153915332032
190,00-0038492,Jason Brownlee,WR,KC,0.06496709777984133
191,00-0037132,Britain Covey,WR,PHI,0.03261672246311331
192,00-0038576,Charlie Jones,WR,CIN,0.007057542197078881
193,00-0034487,Trent Sherfield,WR,BUF,-0.10781022985027189
194,00-0040629,Dalevon Campbell,WR,LAC,-0.1357424879101332
195,00-0036646,Simi Fehoko,WR,ARI,-0.1535915234924916
196,00-0038911,Malik Cunningham,WR,DET,-0.16642882308518114
197,00-0040431,Dalen Cambre,WR,NYG,-0.18821074405139537
198,00-0035544,Tom Kennedy,WR,DET,-0.21177596959305944
199,00-0037093,Dareke Young,WR,LV,-0.37653540464358315
200,00-0039710,Jeshaun Jones,WR,MIN,-0.4366295715319497
201,00-0034867,Malik Turner,WR,SF,-0.5739106167226184
202,00-0036463,Chris Blair,WR,ATL,-0.9443477899834543
203,00-0032951,Laquon Treadwell,WR,IND,-1.1069754693695621
